"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"09.03.2022","11,360","11,380","11,382","11,338","221,16K","0,00%"
"08.03.2022","11,360","11,380","11,380","11,344","170,24K","0,16%"
"07.03.2022","11,342","11,366","11,366","11,320","137,76K","0,34%"
"04.03.2022","11,304","11,246","11,314","11,244","212,06K","0,59%"
"03.03.2022","11,238","11,202","11,244","11,192","197,61K","0,64%"
"02.03.2022","11,166","11,166","11,192","11,164","194,86K","4,85%"
"25.02.2022","10,650","10,654","10,654","10,644","8,58K","0,06%"
"24.02.2022","10,644","10,644","10,652","10,644","34,52K","0,00%"
"23.02.2022","10,644","10,650","10,650","10,644","21,18K","-0,02%"
"22.02.2022","10,646","10,650","10,654","10,644","6,52K","0,02%"
"21.02.2022","10,644","10,648","10,656","10,644","7,44K","-0,08%"
"18.02.2022","10,652","10,648","10,652","10,648","3,09K","0,06%"
"17.02.2022","10,646","10,654","10,656","10,644","26,81K","-0,06%"
"16.02.2022","10,652","10,650","10,656","10,646","14,36K","-0,04%"
"15.02.2022","10,656","10,656","10,656","10,654","11,19K","0,06%"
"14.02.2022","10,650","10,646","10,654","10,646","39,82K","-0,02%"
"11.02.2022","10,652","10,656","10,656","10,644","50,53K","-0,02%"
"10.02.2022","10,654","10,656","10,656","10,646","47,80K","-0,04%"
"09.02.2022","10,658","10,650","10,658","10,650","17,16K","0,04%"
"08.02.2022","10,654","10,654","10,654","10,646","24,96K","0,00%"
"07.02.2022","10,654","10,648","10,654","10,648","6,54K","-0,02%"
"04.02.2022","10,656","10,648","10,656","10,648","7,64K","0,02%"
"03.02.2022","10,654","10,650","10,654","10,644","13,52K","0,95%"
"02.02.2022","10,554","10,560","10,560","10,548","175,62K","0,65%"
"01.02.2022","10,486","10,504","10,504","10,464","371,74K","0,50%"
"31.01.2022","10,434","9,148","10,434","9,148","50,59K","13,91%"
"28.01.2022","9,160","9,150","9,160","9,150","43,31K","0,09%"
"27.01.2022","9,152","9,152","9,160","9,152","13,01K","0,02%"
"26.01.2022","9,150","9,160","9,160","9,150","6,28K","-0,02%"
"25.01.2022","9,152","9,152","9,160","9,150","40,18K","-0,09%"
"24.01.2022","9,160","9,152","9,160","9,152","37,36K","0,00%"
"21.01.2022","9,160","9,160","9,160","9,152","15,23K","0,00%"
"20.01.2022","9,160","9,154","9,160","9,152","4,98K","0,00%"
"19.01.2022","9,160","9,160","9,160","9,154","7,91K","0,07%"
"18.01.2022","9,154","9,150","9,160","9,150","3,54K","0,02%"
"17.01.2022","9,152","9,152","9,158","9,152","6,57K","0,00%"
"14.01.2022","9,152","9,158","9,158","9,152","4,50K","-0,04%"
"13.01.2022","9,156","9,158","9,158","9,152","7,42K","-0,02%"
"12.01.2022","9,158","9,156","9,158","9,156","3,60K","0,00%"
"11.01.2022","9,158","9,158","9,160","9,152","6,45K","0,00%"
"10.01.2022","9,158","9,158","9,158","9,152","26,78K","0,00%"
"07.01.2022","9,158","9,160","9,160","9,152","30,50K","0,00%"
"06.01.2022","9,158","9,152","9,160","9,152","2,56K","0,07%"
"05.01.2022","9,152","9,162","9,162","9,152","5,20K","-0,09%"
"04.01.2022","9,160","9,154","9,160","9,152","71,78K","0,00%"
"03.01.2022","9,160","9,150","9,162","9,150","105,23K","0,00%"
"30.12.2021","9,160","9,150","9,160","9,144","43,74K","0,11%"
"29.12.2021","9,150","9,140","9,150","9,140","19,59K","0,04%"
"28.12.2021","9,146","9,150","9,152","9,144","182,12K","-0,04%"
"27.12.2021","9,150","9,146","9,154","9,146","86,61K","0,00%"
"23.12.2021","9,150","9,152","9,154","9,150","45,64K","-0,02%"
"22.12.2021","9,152","9,144","9,152","9,144","159,55K","0,00%"
"21.12.2021","9,152","9,142","9,154","9,142","34,88K","-0,02%"
"20.12.2021","9,154","9,148","9,154","9,138","62,88K","0,15%"
"17.12.2021","9,140","9,148","9,154","9,140","34,99K","-0,11%"
"16.12.2021","9,150","9,148","9,152","9,140","19,58K","0,02%"
"15.12.2021","9,148","9,150","9,150","9,148","41,13K","-0,02%"
"14.12.2021","9,150","9,152","9,158","9,150","47,54K","-0,04%"
"13.12.2021","9,154","9,152","9,154","9,150","343,45K","0,02%"
"10.12.2021","9,152","9,154","9,156","9,152","209,17K","-0,02%"
"09.12.2021","9,154","9,150","9,158","9,150","438,83K","0,59%"
"08.12.2021","9,100","9,100","9,114","9,080","197,36K","0,66%"
"07.12.2021","9,040","9,022","9,052","9,022","150,36K","0,87%"
"06.12.2021","8,962","8,938","8,970","8,922","698,81K","0,70%"
"03.12.2021","8,900","8,916","8,922","8,878","280,00K","0,52%"
"02.12.2021","8,854","8,834","8,864","8,834","501,95K","0,59%"
"01.12.2021","8,802","8,762","8,828","8,762","428,12K","0,48%"
"30.11.2021","8,760","7,652","8,760","7,652","377,76K","14,09%"
"29.11.2021","7,678","7,654","7,678","7,654","59,98K","0,31%"
"26.11.2021","7,654","7,654","7,680","7,654","80,83K","0,00%"
"25.11.2021","7,654","7,656","7,668","7,650","79,14K","0,00%"
"24.11.2021","7,654","7,654","7,670","7,652","8,33K","0,03%"
"23.11.2021","7,652","7,654","7,654","7,652","33,41K","-0,03%"
"22.11.2021","7,654","7,654","7,660","7,654","15,70K","0,03%"
"19.11.2021","7,652","7,660","7,660","7,652","11,18K","-0,03%"
"18.11.2021","7,654","7,654","7,660","7,654","32,37K","0,00%"
"17.11.2021","7,654","7,660","7,660","7,654","11,02K","0,00%"
"16.11.2021","7,654","7,660","7,660","7,652","21,08K","0,03%"
"12.11.2021","7,652","7,668","7,688","7,652","32,23K","-0,08%"
"11.11.2021","7,658","7,654","7,700","7,654","23,83K","0,03%"
"10.11.2021","7,656","7,680","7,680","7,656","14,48K","-0,31%"
"09.11.2021","7,680","7,658","7,680","7,658","69,72K","0,21%"
"08.11.2021","7,664","7,668","7,710","7,664","59,71K","-0,03%"
"05.11.2021","7,666","7,686","7,686","7,650","97,24K","0,03%"
"04.11.2021","7,664","7,680","7,690","7,664","15,89K","-0,13%"
"03.11.2021","7,674","7,672","7,696","7,672","53,68K","0,05%"
"01.11.2021","7,670","7,672","7,694","7,670","271,21K","-0,18%"
"29.10.2021","7,684","7,660","7,684","7,646","157,15K","0,34%"
"28.10.2021","7,658","7,610","7,658","7,610","72,09K","5,48%"
"27.10.2021","7,260","7,270","7,298","7,200","315,53K","3,57%"
"26.10.2021","7,010","6,960","7,050","6,960","136,56K","3,09%"
"25.10.2021","6,800","6,850","6,850","6,780","95,09K","2,87%"
"22.10.2021","6,610","6,650","6,670","6,602","91,04K","0,49%"
"21.10.2021","6,578","6,510","6,578","6,510","187,54K","2,14%"
"20.10.2021","6,440","6,450","6,454","6,420","132,17K","0,28%"
"19.10.2021","6,422","6,376","6,422","6,376","90,78K","0,85%"
"18.10.2021","6,368","6,354","6,368","6,352","29,64K","0,32%"
"15.10.2021","6,348","6,352","6,352","6,332","52,78K","0,47%"
"14.10.2021","6,318","6,334","6,334","6,316","52,78K","0,22%"
"13.10.2021","6,304","6,310","6,310","6,300","53,94K","0,22%"
"11.10.2021","6,290","6,292","6,318","6,290","19,47K","-0,13%"
"08.10.2021","6,298","6,290","6,300","6,290","72,28K","0,19%"
"07.10.2021","6,286","6,280","6,288","6,278","25,79K","0,29%"
"06.10.2021","6,268","6,266","6,282","6,266","49,69K","-0,10%"
"05.10.2021","6,274","6,270","6,274","6,260","30,42K","0,13%"
"04.10.2021","6,266","6,260","6,266","6,254","20,25K","0,03%"
"01.10.2021","6,264","6,260","6,270","6,250","284,56K","0,26%"
"30.09.2021","6,248","6,150","6,248","6,146","61,82K","1,46%"
"29.09.2021","6,158","6,150","6,158","6,150","86,32K","0,16%"
"28.09.2021","6,148","6,148","6,158","6,146","205,04K","-0,10%"
"27.09.2021","6,154","6,150","6,158","6,148","87,77K","0,00%"
"24.09.2021","6,154","6,158","6,158","6,150","270,76K","0,07%"
"23.09.2021","6,150","6,156","6,156","6,150","302,49K","2,02%"
"22.09.2021","6,028","6,010","6,032","6,010","286,84K","1,96%"
"21.09.2021","5,912","5,910","5,926","5,906","109,98K","1,41%"
"20.09.2021","5,830","5,824","5,840","5,824","126,36K","1,11%"
"17.09.2021","5,766","5,760","5,780","5,760","156,65K","0,95%"
"16.09.2021","5,712","5,700","5,720","5,700","154,14K","0,81%"
"15.09.2021","5,666","5,662","5,678","5,660","485,48K","0,50%"
"14.09.2021","5,638","5,740","5,758","5,632","736,02K","-1,19%"
"13.09.2021","5,706","5,690","5,710","5,690","477,19K","0,81%"
"10.09.2021","5,660","5,650","5,670","5,642","692,24K","0,07%"
"09.09.2021","5,656","5,640","5,680","5,608","910,36K","2,02%"
"08.09.2021","5,544","5,530","5,550","5,520","197,55K","0,58%"
"06.09.2021","5,512","5,502","5,514","5,502","44,32K","0,40%"
"03.09.2021","5,490","5,478","5,502","5,478","132,32K","0,26%"
"02.09.2021","5,476","5,470","5,486","5,468","360,09K","0,44%"
"01.09.2021","5,452","5,442","5,464","5,440","698,41K","0,29%"
"31.08.2021","5,436","5,150","5,436","5,146","214,38K","5,47%"
"30.08.2021","5,154","5,150","5,156","5,146","64,34K","-0,04%"
"27.08.2021","5,156","5,150","5,156","5,148","67,32K","0,17%"
"26.08.2021","5,147","5,150","5,156","5,144","22,83K","-0,02%"
"25.08.2021","5,148","5,150","5,156","5,148","33,99K","0,00%"
"24.08.2021","5,148","5,150","5,156","5,148","20,35K","0,00%"
"23.08.2021","5,148","5,150","5,156","5,148","17,18K","-0,16%"
"20.08.2021","5,156","5,150","5,156","5,150","102,03K","0,04%"
"19.08.2021","5,154","5,150","5,156","5,146","33,14K","0,16%"
"18.08.2021","5,146","5,150","5,158","5,146","165,47K","-0,08%"
"17.08.2021","5,150","5,150","5,150","5,150","22,72K","0,04%"
"16.08.2021","5,148","5,150","5,154","5,148","51,66K","0,00%"
"13.08.2021","5,148","5,150","5,154","5,148","22,10K","0,00%"
"12.08.2021","5,148","5,150","5,154","5,148","23,06K","0,08%"
"11.08.2021","5,144","5,150","5,150","5,144","31,73K","-0,19%"
"10.08.2021","5,154","5,148","5,154","5,146","62,47K","0,16%"
"09.08.2021","5,146","5,150","5,154","5,146","30,71K","-0,04%"
"06.08.2021","5,148","5,150","5,156","5,148","64,54K","-0,16%"
"05.08.2021","5,156","5,156","5,156","5,152","93,43K","0,51%"
"04.08.2021","5,130","5,100","5,148","5,100","172,20K","0,79%"
"03.08.2021","5,090","5,080","5,106","5,080","144,39K","1,23%"
"02.08.2021","5,028","5,018","5,100","5,018","504,84K","0,36%"
"30.07.2021","5,010","4,150","5,010","4,126","159,55K","21,01%"
"29.07.2021","4,140","4,150","4,170","4,140","34,65K","-0,24%"
"28.07.2021","4,150","4,150","4,152","4,150","41,03K","0,05%"
"27.07.2021","4,148","4,150","4,150","4,148","49,89K","-0,48%"
"26.07.2021","4,168","4,150","4,168","4,150","71,71K","0,14%"
"23.07.2021","4,162","4,150","4,188","4,150","103,80K","0,14%"
"22.07.2021","4,156","4,150","4,156","4,150","55,92K","-0,05%"
"21.07.2021","4,158","4,150","4,158","4,150","31,87K","0,14%"
"20.07.2021","4,152","4,150","4,152","4,150","20,62K","-0,10%"
"19.07.2021","4,156","4,150","4,158","4,150","122,67K","0,14%"
"16.07.2021","4,150","4,150","4,150","4,150","24,51K","-0,24%"
"15.07.2021","4,160","4,150","4,160","4,150","20,10K","0,24%"
"14.07.2021","4,150","4,150","4,160","4,150","32,33K","0,00%"
"13.07.2021","4,150","4,150","4,150","4,150","20,85K","-0,29%"
"12.07.2021","4,162","4,150","4,162","4,150","33,12K","0,43%"
"09.07.2021","4,144","4,144","4,144","4,144","-","-0,19%"
"08.07.2021","4,152","4,152","4,152","4,150","24,24K","-0,19%"
"07.07.2021","4,160","4,152","4,160","4,152","32,02K","0,07%"
"06.07.2021","4,157","4,164","4,164","4,156","23,43K","-0,02%"
"05.07.2021","4,158","4,160","4,160","4,150","38,96K","-0,14%"
"02.07.2021","4,164","4,150","4,170","4,150","185,49K","0,24%"
"01.07.2021","4,154","4,152","4,154","4,152","459,13K","0,10%"
"30.06.2021","4,150","4,154","4,154","4,150","115,23K","-0,05%"
"29.06.2021","4,152","4,154","4,154","4,150","424,23K","-0,05%"
"28.06.2021","4,154","4,152","4,154","4,150","105,46K","0,00%"
"25.06.2021","4,154","4,150","4,154","4,150","103,33K","0,05%"
"24.06.2021","4,152","4,150","4,154","4,150","34,06K","-0,05%"
"23.06.2021","4,154","4,150","4,154","4,150","82,18K","0,10%"
"22.06.2021","4,150","4,152","4,154","4,150","97,25K","-0,10%"
"21.06.2021","4,154","4,150","4,154","4,150","59,80K","0,05%"
"18.06.2021","4,152","4,150","4,154","4,150","36,09K","-0,05%"
"17.06.2021","4,154","4,142","4,156","4,140","329,97K","0,87%"
"16.06.2021","4,118","4,130","4,130","4,118","1,01M","1,18%"
"15.06.2021","4,070","4,072","4,080","4,056","707,13K","1,29%"
"14.06.2021","4,018","3,976","4,030","3,976","223,06K","1,06%"
"11.06.2021","3,976","3,940","3,976","3,940","103,00K","1,27%"
"10.06.2021","3,926","3,912","3,940","3,910","374,71K","1,13%"
"09.06.2021","3,882","3,880","3,888","3,872","196,69K","0,78%"
"08.06.2021","3,852","3,836","3,854","3,836","117,13K","0,84%"
"07.06.2021","3,820","3,816","3,828","3,816","59,17K","0,53%"
"04.06.2021","3,800","3,808","3,808","3,794","190,92K","0,37%"
"02.06.2021","3,786","3,774","3,792","3,770","235,24K","0,69%"
"01.06.2021","3,760","3,762","3,768","3,754","1,01M","0,21%"
"31.05.2021","3,752","3,600","3,752","3,600","139,96K","10,35%"
"28.05.2021","3,400","3,396","3,400","3,396","22,44K","-0,12%"
"27.05.2021","3,404","3,404","3,404","3,396","88,53K","0,24%"
"26.05.2021","3,396","3,400","3,404","3,396","70,60K","-0,12%"
"25.05.2021","3,400","3,394","3,404","3,394","14,14K","-0,06%"
"24.05.2021","3,402","3,400","3,402","3,394","33,45K","0,65%"
"21.05.2021","3,380","3,380","3,380","3,380","12,52K","-0,47%"
"20.05.2021","3,396","3,396","3,400","3,396","30,11K","-0,12%"
"19.05.2021","3,400","3,400","3,400","3,400","17,26K","0,18%"
